run_name,method,method_tag,adaptive_rel_mode,density,mobility,noise,energy,seed,windows_run,avg_rmse_all,std_rmse_all,p95_rmse_all,avg_rmse_non,std_rmse_non,p95_rmse_non,avg_objective,avg_K,min_K,max_K,pct_cap_limited,total_energy_spent,final_energy_remaining,spike_rejections,nodes_clamped_total,K_fixed,contact_threshold,smacof_iters
HD-ML-NH-EH-ADAPT-SMACOF-S1,adaptive,EH-ADAPT-SMACOF,SMACOF,HD,L,H,H,1,40,6.372093317373379,6.7146340630450485,16.541223941891992,6.403561552585018,6.726513509503943,16.35084382381043,7.339593317373378,5.375,3,8,0.0,215.0,185.0,0,0,,,
HD-ML-NH-EH-ADAPT-SMACOF-S2,adaptive,EH-ADAPT-SMACOF,SMACOF,HD,L,H,H,2,40,8.287718941160076,5.751386039806527,15.486799675302889,8.255739602040657,5.753058231961338,15.390803686916604,9.633218941160077,7.475,4,10,0.0,299.0,101.0,0,0,,,
HD-ML-NH-EH-FIXK12-S1,fixed,FIXK12-S1,,HD,L,H,H,1,33,7.50112843845713,5.2607912466885125,12.818494421462695,7.573963889191262,5.974967520377182,13.575127960138728,9.66112843845713,12.0,12,12,0.0,396.0,4.0,0,0,12,,
HD-ML-NH-EH-FIXK12-S2,fixed,FIXK12-S2,,HD,L,H,H,2,33,8.301254893540925,4.19459799368694,14.075178914834908,7.925778293024456,4.016921345194658,13.84603801699789,10.461254893540925,12.0,12,12,0.0,396.0,4.0,0,0,12,,
HD-ML-NH-EH-FIXK3-S1,fixed,FIXK3-S1,,HD,L,H,H,1,40,13.616608831325346,11.32773921088738,33.01349375948024,14.028064486100234,11.779438255547824,34.3206444693026,14.156608831325347,3.0,3,3,0.0,120.0,280.0,0,0,3,,
HD-ML-NH-EH-FIXK3-S2,fixed,FIXK3-S2,,HD,L,H,H,2,40,12.487648068677329,8.45064548566823,22.832881087956952,12.734793770538655,8.751333548345004,23.71685228353975,13.027648068677328,3.0,3,3,0.0,120.0,280.0,0,0,3,,
HD-ML-NH-EH-FIXK6-S1,fixed,FIXK6-S1,,HD,L,H,H,1,40,9.432040089966902,8.212879942867088,33.10830964079025,9.615988569319637,8.867821244293898,35.85049425454329,10.512040089966902,6.0,6,6,0.0,240.0,160.0,0,0,6,,
HD-ML-NH-EH-FIXK6-S2,fixed,FIXK6-S2,,HD,L,H,H,2,40,9.387031003071963,5.229973976265646,15.699090268721598,9.36945103073748,5.391348863552286,15.416573902398035,10.467031003071963,6.0,6,6,0.0,240.0,160.0,0,0,6,,
HD-ML-NH-EH-FIXK9-S1,fixed,FIXK9-S1,,HD,L,H,H,1,40,7.753366446757053,5.223668711581016,14.255988116012137,7.7888304343032875,5.623711106218348,14.298141419299448,9.373366446757053,9.0,9,9,0.0,360.0,40.0,0,0,9,,
HD-ML-NH-EH-FIXK9-S2,fixed,FIXK9-S2,,HD,L,H,H,2,40,8.869474436388353,4.701355149620969,13.973936084932193,8.665294153227354,4.850934477970812,13.657291980878604,10.489474436388353,9.0,9,9,0.0,360.0,40.0,0,0,9,,
HD-ML-NH-EH-GMDS-S1,GMDS,GMDS,,HD,L,H,H,1,40,2.5015385218736697,4.065771687398993,16.381809531511063,2.540230713771598,4.084471110251751,16.257234402283284,3.76153852187367,7.0,7,7,0.0,280.0,120.0,0,0,7,,
HD-ML-NH-EH-GMDS-S2,GMDS,GMDS,,HD,L,H,H,2,40,13.54727571740481,2.830304057097797,14.976782880211656,13.551049071329336,2.8496526897940555,15.218865305130835,14.80727571740481,7.0,7,7,0.0,280.0,120.0,0,0,7,,
HD-ML-NH-EH-S1,adaptive,,classical,HD,L,H,H,1,40,9.818806490133722,6.058878043253341,17.951215435354122,10.037055948455379,6.146471170256121,18.327948461086265,10.597306490133722,4.325,3,6,0.0,173.0,227.0,0,0,,,
HD-ML-NH-EH-S2,adaptive,,classical,HD,L,H,H,2,40,11.62814908758532,6.334465518440408,16.744520194190063,11.792047649881024,6.836205046628856,17.00805816556583,12.622649087585321,5.525,4,8,0.0,221.0,179.0,0,0,,,
HD-ML-NH-EH-S3,adaptive,,classical,HD,L,H,H,3,40,8.29900672062819,6.007340875333828,19.08612193528994,8.493388450838523,6.363447187441442,20.11112292082905,9.347506720628191,5.825,4,7,0.0,233.0,167.0,0,0,,,
